1,2,a,1,8/16/2024 5:56,8/17/2024 5:56
2,2,b,1,8/15/2024 5:56,8/16/2024 5:56
3,2,c,1,8/14/2024 5:56,8/16/2024 5:56
4,2,d,1,8/13/2024 5:56,8/15/2024 5:56
5,2,e,1,8/12/2024 5:56,8/15/2024 5:56
6,2,f,1,8/11/2024 5:56,8/14/2024 5:56
7,2,a,2,8/10/2024 5:56,8/14/2024 5:56
8,2,b,2,8/9/2024 5:56,8/13/2024 5:56
9,2,c,2,8/8/2024 5:56,8/13/2024 5:56
10,2,d,2,8/7/2024 5:56,8/12/2024 5:56
11,2,e,2,8/6/2024 5:56,8/12/2024 5:56
12,2,f,2,8/5/2024 5:56,8/11/2024 5:56
13,2,a,3,8/4/2024 5:56,8/11/2024 5:56
14,2,b,3,8/3/2024 5:56,8/10/2024 5:56
15,2,c,3,8/2/2024 5:56,8/10/2024 5:56
16,2,d,3,8/1/2024 5:56,8/9/2024 5:56
17,2,e,3,7/31/2024 5:56,8/9/2024 5:56
18,2,f,3,7/30/2024 5:56,8/8/2024 5:56
19,1,a,4,7/29/2024 5:56,8/8/2024 5:56
20,1,b,4,7/28/2024 5:56,8/7/2024 5:56
21,1,c,4,7/27/2024 5:56,8/7/2024 5:56
22,1,d,4,7/26/2024 5:56,8/6/2024 5:56
23,1,e,4,7/25/2024 5:56,8/6/2024 5:56
24,1,f,4,7/24/2024 5:56,8/5/2024 5:56
25,1,a,5,7/23/2024 5:56,8/5/2024 5:56
26,1,b,5,7/22/2024 5:56,8/4/2024 5:56
27,1,c,5,7/21/2024 5:56,8/4/2024 5:56
28,1,d,5,7/20/2024 5:56,8/3/2024 5:56
29,1,e,5,7/19/2024 5:56,8/3/2024 5:56
30,1,f,5,7/18/2024 5:56,8/2/2024 5:56
31,1,a,6,7/17/2024 5:56,8/2/2024 5:56
32,1,b,6,7/16/2024 5:56,8/1/2024 5:56
33,1,c,6,7/15/2024 5:56,8/1/2024 5:56
34,1,d,6,7/14/2024 5:56,7/31/2024 5:56
35,1,e,6,7/13/2024 5:56,7/31/2024 5:56
36,1,f,6,7/12/2024 5:56,7/30/2024 5:56
37,1,a,7,7/11/2024 5:56,7/30/2024 5:56
38,1,b,7,7/10/2024 5:56,7/29/2024 5:56
39,1,c,7,7/9/2024 5:56,7/29/2024 5:56
40,1,d,7,7/8/2024 5:56,7/28/2024 5:56
41,1,e,7,7/7/2024 5:56,7/28/2024 5:56
42,1,f,7,7/6/2024 5:56,7/27/2024 5:56
43,1,a,8,7/5/2024 5:56,7/27/2024 5:56
